commit_sha	submodule
028837785b602e53b557f47b0d74e867765a26ce	llama-cpp-tk
028837785b602e53b557f47b0d74e867765a26ce	mcp
028837785b602e53b557f47b0d74e867765a26ce	mdns-inspector
028837785b602e53b557f47b0d74e867765a26ce	mouse-pointer
028837785b602e53b557f47b0d74e867765a26ce	pictogram
028837785b602e53b557f47b0d74e867765a26ce	remove-desktop-ini
028837785b602e53b557f47b0d74e867765a26ce	shellex-rust
028837785b602e53b557f47b0d74e867765a26ce	static-lunr
028837785b602e53b557f47b0d74e867765a26ce	test/add-http-tests-and-fix-stdio
028837785b602e53b557f47b0d74e867765a26ce	windows-moukaeritai-work
02fc689dd84dbfee411f1441a7446ab3a00f8b91	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
02fc689dd84dbfee411f1441a7446ab3a00f8b91	git-hangup-investigation
02fc689dd84dbfee411f1441a7446ab3a00f8b91	git-lfs-lite
02fc689dd84dbfee411f1441a7446ab3a00f8b91	githooks
02fc689dd84dbfee411f1441a7446ab3a00f8b91	llama-cpp-tk
02fc689dd84dbfee411f1441a7446ab3a00f8b91	mcp
02fc689dd84dbfee411f1441a7446ab3a00f8b91	mdns-inspector
02fc689dd84dbfee411f1441a7446ab3a00f8b91	mouse-pointer
02fc689dd84dbfee411f1441a7446ab3a00f8b91	pictogram
02fc689dd84dbfee411f1441a7446ab3a00f8b91	remove-desktop-ini
02fc689dd84dbfee411f1441a7446ab3a00f8b91	shellex-rust
02fc689dd84dbfee411f1441a7446ab3a00f8b91	static-lunr
02fc689dd84dbfee411f1441a7446ab3a00f8b91	test/add-http-tests-and-fix-stdio
02fc689dd84dbfee411f1441a7446ab3a00f8b91	windows-moukaeritai-work
04e74b8a63100af258244a6d970773801c54cdc6	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
04e74b8a63100af258244a6d970773801c54cdc6	feat/mcp-filelist-server
04e74b8a63100af258244a6d970773801c54cdc6	git-hangup-investigation
04e74b8a63100af258244a6d970773801c54cdc6	git-lfs-lite
04e74b8a63100af258244a6d970773801c54cdc6	githooks
04e74b8a63100af258244a6d970773801c54cdc6	llama-cpp-tk
04e74b8a63100af258244a6d970773801c54cdc6	mcp
04e74b8a63100af258244a6d970773801c54cdc6	mdns-inspector
04e74b8a63100af258244a6d970773801c54cdc6	mouse-pointer
04e74b8a63100af258244a6d970773801c54cdc6	pictogram
04e74b8a63100af258244a6d970773801c54cdc6	remove-desktop-ini
04e74b8a63100af258244a6d970773801c54cdc6	shellex-rust
